"","Name","PercentObesityCrude","ParentLocation","PercentAlcoholConsumers","MeanSystolic","MeanCholesterol","HDI.rank...1","Human.Development.Index..HDI.","Life.expectancy.at.birth"
"1","Afghanistan",4.5,"Eastern Mediterranean",0.7,125.8,4.1,180,0.478,61.9824
"2","Albania",22.3,"Europe",51,132.75,5,67,0.796,76.4626
"3","Algeria",26.6,"Africa",3.2,125.9,4.3,91,0.745,76.3767
"4","Andorra",28,"Europe",74.6,121.65,5.1,40,0.858,80.3684
"5","Angola",6.8,"Africa",47.7,129.6,4,148,0.586,61.6434
"6","Antigua and Barbuda",19.1,"Americas",49.4,126.25,4.5,71,0.788,78.4968
"7","Argentina",28.5,"Americas",67.4,124.45,4.7,47,0.842,75.3899
"8","Armenia",20.9,"Europe",26,130.75,4.5,85,0.759,72.0431
"9","Australia",30.4,"Western Pacific",79.4,119.7,4.8,5,0.951,84.5265
"10","Austria",21.9,"Europe",78.1,123.85,5.1,25,0.916,81.5797
"11","Azerbaijan",19.9,"Europe",21.9,128.25,4.5,91,0.745,69.3658
"12","Bahamas",32.1,"Americas",43.8,124.9,4.7,55,0.812,71.5983
"13","Bahrain",28.7,"Eastern Mediterranean",8.8,123.3,4.5,35,0.875,78.7605
"14","Bangladesh",3.4,"South-East Asia",2.2,119.35,4.2,129,0.661,72.3811
"15","Barbados",24.8,"Americas",50.5,127.3,4.4,70,0.79,77.5714
"16","Belarus",26.6,"Europe",73.6,130.2,4.9,60,0.808,72.438
"17","Belgium",24.5,"Europe",76.5,125.35,4.8,13,0.937,81.8787
"18","Belize",22.4,"Americas",41.5,122.3,4.5,123,0.683,70.4697
"19","Benin",8.2,"Africa",26.1,126.65,4,166,0.525,59.821
"20","Bhutan",5.8,"South-East Asia",29.6,127.05,4.1,127,0.666,71.815
"21","Bolivia (Plurinational State of)",18.7,"Americas",45.4,122.25,4.4,118,0.692,63.6304
"22","Bosnia and Herzegovina",19.4,"Europe",47.9,130.5,4.8,74,0.78,75.3003
"23","Botswana",16.1,"Africa",32,130.85,4,117,0.693,61.1409
"24","Brazil",22.3,"Americas",40.3,128.8,4.7,87,0.754,72.7504
"25","Brunei Darussalam",14.7,"Western Pacific",33.3,122.5,5,51,0.829,74.6424
"26","Bulgaria",27.4,"Europe",66,129.65,5.2,68,0.795,71.798
"27","Burkina Faso",4.5,"Africa",36.9,126.55,3.7,184,0.449,59.2696
"28","Burundi",4.4,"Africa",31.6,129.7,3.9,187,0.426,61.6627
"29","Côte d’Ivoire",9,"Africa",38.5,130.4,4,159,0.55,58.5983
"30","Cabo Verde",10.6,"Africa",39.4,132.05,4,128,0.662,74.0518
"31","Cambodia",3.5,"Western Pacific",30.9,121.05,4.3,146,0.593,69.5835
"32","Cameroon",9.5,"Africa",33.8,128.3,4,151,0.576,60.3334
"33","Canada",31.3,"Americas",64.5,114.85,4.8,15,0.936,82.6565
"34","Central African Republic",6.3,"Africa",37.6,130.15,4,188,0.404,53.8947
"35","Chad",4.8,"Africa",22.4,130.1,3.9,190,0.394,52.5254
"36","Chile",28.8,"Americas",67.6,124,4.7,42,0.855,78.9435
"37","China",6.6,"Western Pacific",55.9,123.8,4.7,79,0.768,78.2107
"38","Colombia",22.1,"Americas",38.3,122.75,4.8,88,0.752,72.8296
"39","Comoros",6.9,"Africa",4.1,129.7,4,156,0.558,63.4174
"40","Congo",8.4,"Africa",51.7,129.2,4.1,153,0.571,63.5187
"41","Costa Rica",25.7,"Americas",36.6,123.2,4.8,179,0.479,59.193
"42","Croatia",27.1,"Europe",59.7,132.35,5.3,58,0.809,77.0232
"43","Cuba",26.7,"Americas",46.1,120.55,4.7,40,0.858,77.5804
"44","Cyprus",22.6,"Europe",68.8,122.3,5,83,0.764,73.6829
"45","Czechia",28.5,"Europe",75.4,126.3,5.2,29,0.896,81.2033
"46","Democratic Republic of the Congo",5.6,"Africa",36.4,128.3,4,32,0.889,77.7283
"47","Denmark",21.3,"Europe",74.4,123.3,4.9,6,0.948,81.3753
"48","Djibouti",12.2,"Eastern Mediterranean",19.7,128.3,4.1,171,0.509,62.3049
"49","Dominica",28.2,"Americas",45.2,129.2,4.7,102,0.72,72.814
"50","Dominican Republic",26.9,"Americas",43,124.85,4.7,80,0.767,72.6146
"51","Ecuador",19.3,"Americas",46.5,121.9,4.8,95,0.74,73.67
"52","Egypt",31.1,"Eastern Mediterranean",2.8,127.7,4.4,97,0.731,70.2207
"53","El Salvador",22.7,"Americas",29.4,121.45,4.5,125,0.675,70.7479
"54","Equatorial Guinea",7.4,"Africa",72.9,129.4,4.1,145,0.596,60.5943
"55","Eritrea",4.1,"Africa",20.3,123.05,4.1,176,0.492,66.5358
"56","Estonia",23.8,"Europe",72.8,130,5.2,31,0.89,77.1436
"57","Eswatini",13.5,"Africa",28.8,129.05,3.9,144,0.597,57.0657
"58","Ethiopia",3.6,"Africa",22.6,127.75,3.9,175,0.498,64.9748
"59","Fiji",30,"Western Pacific",17.7,129.15,4.7,99,0.73,67.114
"60","Finland",24.9,"Europe",72.5,122.95,5.1,11,0.94,82.0381
"61","France",23.2,"Europe",75.3,121.95,5.2,28,0.903,82.4988
"62","Gabon",13.4,"Africa",66.5,127.95,4.1,112,0.706,65.821
"63","Gambia",8.7,"Africa",26.7,131.5,4.1,174,0.5,62.083
"64","Georgia",23.3,"Europe",35.1,130.9,4.4,63,0.802,71.694
"65","Germany",25.7,"Europe",79.4,121.55,5.1,9,0.942,80.6301
"66","Ghana",9.7,"Africa",26,124.3,4.3,133,0.632,63.7954
"67","Greece",27.4,"Europe",65.4,121.25,5.1,33,0.887,80.1106
"68","Grenada",20.2,"Americas",49.6,129.45,4.5,68,0.795,74.9362
"69","Guatemala",18.8,"Americas",27.3,122.45,4.4,135,0.627,69.2368
"70","Guinea",6.6,"Africa",21.6,132.6,4,182,0.465,58.8922
"71","Guinea-Bissau",8.2,"Africa",28.8,129.45,4,177,0.483,59.6523
"72","Guyana",19.2,"Americas",39.1,125.7,4.8,108,0.714,65.6734
"73","Haiti",20.5,"Americas",35.1,125.9,4.5,163,0.535,63.1924
"74","Honduras",19.4,"Americas",29.8,123.8,4.7,137,0.621,70.1229
"75","Hungary",28.6,"Europe",66.6,130,5.1,46,0.846,74.5301
"76","Iceland",23.1,"Europe",71.5,120.4,4.8,3,0.959,82.6782
"77","India",3.8,"South-East Asia",38.8,125.8,4.2,132,0.633,67.2398
"78","Indonesia",6.9,"South-East Asia",22.7,126.95,4.7,114,0.705,67.5703
"79","Iran (Islamic Republic of)",25.5,"Eastern Mediterranean",3.5,120.6,4.5,76,0.774,73.8749
"80","Iraq",27.4,"Eastern Mediterranean",3.1,127.7,4.6,121,0.686,70.3779
"81","Ireland",26.9,"Europe",81.3,123.5,4.8,8,0.945,81.9976
"82","Israel",26.7,"Europe",55,120.35,4.9,22,0.919,82.255
"83","Italy",22.9,"Europe",67.8,123.65,5.1,30,0.895,82.8502
"84","Jamaica",24.4,"Americas",34.9,124.95,4.6,110,0.709,70.5003
"85","Japan",4.4,"Western Pacific",57,121.2,5.1,19,0.925,84.7839
"86","Jordan",33.4,"Eastern Mediterranean",3,121.6,4.8,102,0.72,74.2563
"87","Kazakhstan",21.3,"Europe",39.9,129.55,4.4,56,0.811,69.3622
"88","Kenya",6,"Africa",23.9,129.15,3.9,152,0.575,61.427
"89","Kiribati",45.6,"Western Pacific",12.1,125.95,4.2,136,0.624,67.4172
"90","Kuwait",37,"Eastern Mediterranean",0.6,124,4.9,19,0.925,83.6978
"91","Kyrgyzstan",15.4,"Europe",25.9,129.25,4.3,50,0.831,78.6729
"92","Lao People's Democratic Republic",4.5,"Western Pacific",40,122.4,4.3,118,0.692,69.9774
"93","Latvia",25.7,"Europe",75,130.35,5.3,140,0.607,68.0608
"94","Lebanon",31.3,"Eastern Mediterranean",6.1,125,4.9,39,0.863,73.5786
"95","Lesotho",13.5,"Africa",17.8,128.15,3.7,112,0.706,75.0472
"96","Liberia",8.6,"Africa",30.8,129.95,4,168,0.514,53.062
"97","Libya",31.8,"Eastern Mediterranean",0.1,131.35,4.3,178,0.481,60.7472
"98","Lithuania",28.4,"Europe",79.1,132.3,5.3,104,0.718,71.9112
"99","Luxembourg",24.2,"Europe",91.8,124.85,5,35,0.875,73.7201
"100","Madagascar",4.5,"Africa",20.9,129.95,4,17,0.93,82.6287
"101","Malawi",4.7,"Africa",23.7,133.65,3.6,173,0.501,64.4853
"102","Malaysia",15.3,"Western Pacific",29.6,128.3,5.1,169,0.512,62.9044
"103","Maldives",7.9,"South-East Asia",7.9,124.55,4.6,62,0.803,74.8839
"104","Mali",7.1,"Africa",21.9,126.9,3.9,90,0.747,79.9182
"105","Malta",31,"Europe",63,123.65,5.2,186,0.428,58.9414
"106","Mauritania",11.3,"Africa",0.9,129.6,4.2,23,0.918,83.7769
"107","Mauritius",11.5,"Africa",31.2,128.45,4.7,158,0.556,64.3636
"108","Mexico",28.4,"Americas",42.7,125.3,4.8,63,0.802,73.5552
"109","Micronesia (Federated States of)",41.6,"Western Pacific",15.2,127.2,4.2,86,0.758,70.2127
"110","Mongolia",19.6,"Western Pacific",33.6,129.95,4.8,134,0.628,70.71
"111","Montenegro",24.9,"Europe",54,130.15,5.1,96,0.739,70.9754
"112","Morocco",25.6,"Eastern Mediterranean",2.6,126.05,4.1,49,0.832,76.3426
"113","Mozambique",6,"Africa",21,132.95,4,123,0.683,74.0419
"114","Myanmar",5.7,"South-East Asia",27.1,124.65,4.7,185,0.446,59.3247
"115","Namibia",15,"Africa",30.3,127.35,4,149,0.585,65.6716
"116","Nepal",3.8,"South-East Asia",27.1,126.4,4.1,139,0.615,59.269
"117","Netherlands",23.1,"Europe",72.1,124.5,4.9,143,0.602,68.4495
"118","New Zealand",32,"Western Pacific",74.6,121.5,4.9,10,0.941,81.6873
"119","Nicaragua",21.8,"Americas",32.5,124.65,4.4,13,0.937,82.4513
"120","Niger",4.7,"Africa",20.2,134.7,3.9,126,0.667,73.8368
"121","Nigeria",7.8,"Africa",52.6,123.45,3.7,189,0.4,61.5763
"122","Niue",49.3,"Western Pacific",33.2,129,4.3,163,0.535,52.676
"123","Norway",25,"Europe",79,126.25,5.1,2,0.961,83.2339
"124","Oman",22.9,"Eastern Mediterranean",8.3,127.2,4.5,54,0.816,72.5406
"125","Pakistan",7.8,"Eastern Mediterranean",1.2,128.15,4.2,161,0.544,66.0979
"126","Panama",22.5,"Americas",47.7,124.8,4.7,106,0.715,73.4727
"127","Papua New Guinea",19.4,"Western Pacific",13.7,125.95,4.4,61,0.805,76.2233
"128","Paraguay",19,"Americas",36,126,4.6,156,0.558,65.3506
"129","Peru",19.1,"Americas",53.2,120.05,4.5,105,0.717,70.2617
"130","Philippines",6,"Western Pacific",33.1,122.85,4.9,84,0.762,72.3769
"131","Poland",25.6,"Europe",68,128.7,5.1,116,0.699,69.2664
"132","Portugal",23.2,"Europe",69.2,123.05,5.2,34,0.876,76.4572
"133","Qatar",33.9,"Eastern Mediterranean",45.6,123.05,4.4,38,0.866,81.0443
"134","Republic of Korea",4.9,"Western Pacific",63.9,114.35,4.9,42,0.855,79.2716
"135","Republic of Moldova",20.1,"Europe",66.6,132.7,4.7,80,0.767,68.8459
"136","Romania",24.5,"Europe",67.2,130.8,5.1,53,0.821,74.1847
"137","Russian Federation",25.7,"Europe",58.1,126.5,5.2,52,0.822,69.419
"138","Rwanda",4.8,"Africa",35,126.95,3.7,165,0.534,66.0722
"139","Saint Kitts and Nevis",23.1,"Americas",54.8,129.3,4.5,75,0.777,71.6822
"140","Saint Lucia",19.8,"Americas",49.7,128.65,4.5,106,0.715,71.1114
"141","Saint Vincent and the Grenadines",23.8,"Americas",46.6,125.9,4.4,89,0.751,69.6291
"142","Samoa",45.5,"Western Pacific",16,128.1,4.4,111,0.707,72.7675
"143","Sao Tome and Principe",10.6,"Africa",34,132.7,3.9,138,0.618,67.5912
"144","Saudi Arabia",35,"Eastern Mediterranean",5.8,122.8,4.6,35,0.875,76.936
"145","Senegal",7.4,"Africa",21.1,129.5,4,170,0.511,67.0926
"146","Serbia",23.5,"Europe",60,131.1,5.3,63,0.802,74.1923
"147","Seychelles",14.6,"Africa",54.9,129.7,4.8,72,0.785,71.2945
"148","Sierra Leone",7.5,"Africa",30.9,130.75,4,181,0.477,60.0624
"149","Singapore",6.6,"Western Pacific",70,118.9,5.1,12,0.939,82.7545
"150","Slovakia",22.4,"Europe",71.3,126.25,5.1,45,0.848,74.9101
"151","Slovenia",22.5,"Europe",13.5,132.25,5.1,23,0.918,80.6904
"152","Solomon Islands",20.5,"Western Pacific",0.7,124.35,4.4,155,0.564,70.3477
"153","Spain",27.1,"Europe",68.6,122.05,4.9,27,0.905,83.01
"154","Sri Lanka",5.4,"South-East Asia",28.7,125.65,4.4,73,0.782,76.3991
"155","Suriname",26.5,"Americas",42.2,125.35,4.5,99,0.73,70.2743
"156","Sweden",22.1,"Europe",73,122.35,5.1,7,0.947,82.9833
"157","Switzerland",21.2,"Europe",81.2,120.5,5,1,0.962,83.9872
"158","Syrian Arab Republic",25.8,"Eastern Mediterranean",2,126.95,4.5,150,0.577,72.0627
"159","Türkiye",32.2,"Europe",6.9,128.95,4.6,122,0.685,71.5942
"160","Tajikistan",12.6,"Europe",20.7,120.5,4.1,160,0.549,66.2007
"161","Thailand",10.8,"South-East Asia",40.9,130,5.1,66,0.8,78.7154
"162","The former Yugoslav Republic of Macedonia",23.9,"Europe",53.7,125.95,5.1,78,0.77,73.8415
"163","Timor-Leste",2.9,"South-East Asia",21.6,127.5,4.2,140,0.607,67.7369
"164","Togo",7.1,"Africa",25.7,130.4,3.9,162,0.539,61.6194
"165","Tonga",45.9,"Western Pacific",14.2,126.25,4.6,91,0.745,70.9857
"166","Trinidad and Tobago",19.7,"Americas",58.7,124.3,4.7,57,0.81,72.9709
"167","Tunisia",27.3,"Eastern Mediterranean",5.2,118.85,4.4,97,0.731,73.7719
"168","Turkmenistan",17.5,"Europe",30.4,128.5,4.5,48,0.838,76.0324
"169","Tuvalu",51,"Western Pacific",14.4,129.4,4.4,91,0.745,69.2644
"170","Uganda",4.1,"Africa",36.3,127.35,3.9,130,0.641,64.5466
"171","Ukraine",26.1,"Europe",61.8,131.25,5.1,166,0.525,62.7048
"172","United Arab Emirates",29.9,"Eastern Mediterranean",18.5,122.45,4.6,77,0.773,71.624
"173","United Kingdom of Great Britain and Northern Ireland",29.5,"Europe",73.4,121.55,5,26,0.911,78.7104
"174","United Republic of Tanzania",7.1,"Africa",36.4,131.5,4.2,18,0.929,80.7422
"175","United States of America",37.3,"Americas",71.7,120.45,4.7,21,0.921,77.1982
"176","Uruguay",28.9,"Americas",68.9,123.55,4.9,58,0.809,75.4356
"177","Uzbekistan",15.3,"Europe",20.8,129.05,4.6,101,0.727,70.8616
"178","Vanuatu",23.5,"Western Pacific",13.6,131.45,4.4,140,0.607,70.449
