Country Name,iso_a3,Indicator Name,2019
Aruba,ABW,"Population, total",106442
Africa Eastern and Southern,AFE,"Population, total",667242986
Afghanistan,AFG,"Population, total",37769499
Africa Western and Central,AFW,"Population, total",454306063
Angola,AGO,"Population, total",32353588
Albania,ALB,"Population, total",2854191
Andorra,AND,"Population, total",76343
Arab World,ARB,"Population, total",441467739
United Arab Emirates,ARE,"Population, total",9211657
Argentina,ARG,"Population, total",44938712
Armenia,ARM,"Population, total",2820602
American Samoa,ASM,"Population, total",47321
Antigua and Barbuda,ATG,"Population, total",92117
Australia,AUS,"Population, total",25340217
Austria,AUT,"Population, total",8879920
Azerbaijan,AZE,"Population, total",10024283
Burundi,BDI,"Population, total",11874838
Belgium,BEL,"Population, total",11488980
Benin,BEN,"Population, total",12290444
Burkina Faso,BFA,"Population, total",20951639
Bangladesh,BGD,"Population, total",165516222
Bulgaria,BGR,"Population, total",6975761
Bahrain,BHR,"Population, total",1494188
"Bahamas, The",BHS,"Population, total",404557
Bosnia and Herzegovina,BIH,"Population, total",3360711
Belarus,BLR,"Population, total",9419758
Belize,BLZ,"Population, total",389095
Bermuda,BMU,"Population, total",63911
Bolivia,BOL,"Population, total",11777315
Brazil,BRA,"Population, total",211782878
Barbados,BRB,"Population, total",280180
Brunei Darussalam,BRN,"Population, total",438048
Bhutan,BTN,"Population, total",767459
Botswana,BWA,"Population, total",2499702
Central African Republic,CAF,"Population, total",5209324
Canada,CAN,"Population, total",37601230
Central Europe and the Baltics,CEB,"Population, total",102398537
Switzerland,CHE,"Population, total",8575280
Channel Islands,CHI,"Population, total",169410
Chile,CHL,"Population, total",19039485
China,CHN,"Population, total",1407745000
Cote d'Ivoire,CIV,"Population, total",26147551
Cameroon,CMR,"Population, total",25782341
"Congo, Dem. Rep.",COD,"Population, total",89906890
"Congo, Rep.",COG,"Population, total",5570733
Colombia,COL,"Population, total",50187406
Comoros,COM,"Population, total",790986
Cabo Verde,CPV,"Population, total",577030
Costa Rica,CRI,"Population, total",5084532
Caribbean small states,CSS,"Population, total",7424102
Cuba,CUB,"Population, total",11316697
Curacao,CUW,"Population, total",157441
Cayman Islands,CYM,"Population, total",66134
Cyprus,CYP,"Population, total",1228836
Czechia,CZE,"Population, total",10671870
Germany,DEU,"Population, total",83092962
Djibouti,DJI,"Population, total",1073994
Dominica,DMA,"Population, total",71428
Denmark,DNK,"Population, total",5814422
Dominican Republic,DOM,"Population, total",10881882
Algeria,DZA,"Population, total",42705368
East Asia & Pacific (excluding high income),EAP,"Population, total",2106391925
Early-demographic dividend,EAR,"Population, total",3335463995
East Asia & Pacific,EAS,"Population, total",2353862257
Europe & Central Asia (excluding high income),ECA,"Population, total",399592320
Europe & Central Asia,ECS,"Population, total",921179725
Ecuador,ECU,"Population, total",17343740
"Egypt, Arab Rep.",EGY,"Population, total",105618671
Euro area,EMU,"Population, total",342452734
Eritrea,ERI,"Population, total",3498818
Spain,ESP,"Population, total",47134837
Estonia,EST,"Population, total",1326898
Ethiopia,ETH,"Population, total",114120594
European Union,EUU,"Population, total",447367191
Fragile and conflict affected situations,FCS,"Population, total",957785553
Finland,FIN,"Population, total",5521606
Fiji,FJI,"Population, total",918465
France,FRA,"Population, total",67388001
Faroe Islands,FRO,"Population, total",51681
"Micronesia, Fed. Sts.",FSM,"Population, total",111379
Gabon,GAB,"Population, total",2242785
United Kingdom,GBR,"Population, total",66836327
Georgia,GEO,"Population, total",3720161
Ghana,GHA,"Population, total",31522290
Gibraltar,GIB,"Population, total",32685
Guinea,GIN,"Population, total",12877539
"Gambia, The",GMB,"Population, total",2508883
Guinea-Bissau,GNB,"Population, total",1970457
Equatorial Guinea,GNQ,"Population, total",1553031
Greece,GRC,"Population, total",10721582
Grenada,GRD,"Population, total",122724
Greenland,GRL,"Population, total",56225
Guatemala,GTM,"Population, total",16604026
Guam,GUM,"Population, total",168624
Guyana,GUY,"Population, total",798753
High income,HIC,"Population, total",1236715327
"Hong Kong SAR, China",HKG,"Population, total",7507900
Honduras,HND,"Population, total",9958829
Heavily indebted poor countries (HIPC),HPC,"Population, total",815100831
Croatia,HRV,"Population, total",4065253
Haiti,HTI,"Population, total",11160438
Hungary,HUN,"Population, total",9771141
IBRD only,IBD,"Population, total",4833831131
IDA & IBRD total,IBT,"Population, total",6554880543
IDA total,IDA,"Population, total",1721049412
IDA blend,IDB,"Population, total",570633332
Indonesia,IDN,"Population, total",269582878
IDA only,IDX,"Population, total",1150416080
Isle of Man,IMN,"Population, total",83933
India,IND,"Population, total",1383112050
Not classified,INX,"Population, total",
Ireland,IRL,"Population, total",4934340
"Iran, Islamic Rep.",IRN,"Population, total",86564202
Iraq,IRQ,"Population, total",41563520
Iceland,ISL,"Population, total",360563
Israel,ISR,"Population, total",9054000
Italy,ITA,"Population, total",59729081
Jamaica,JAM,"Population, total",2813773
Jordan,JOR,"Population, total",10698683
Japan,JPN,"Population, total",126633000
Kazakhstan,KAZ,"Population, total",18513673
Kenya,KEN,"Population, total",50951450
Kyrgyz Republic,KGZ,"Population, total",6456200
Cambodia,KHM,"Population, total",16207746
Kiribati,KIR,"Population, total",124241
St. Kitts and Nevis,KNA,"Population, total",47712
"Korea, Rep.",KOR,"Population, total",51764822
Kuwait,KWT,"Population, total",4441100
Latin America & Caribbean (excluding high income),LAC,"Population, total",582701622
Lao PDR,LAO,"Population, total",7212053
Lebanon,LBN,"Population, total",5781907
Liberia,LBR,"Population, total",4985289
Libya,LBY,"Population, total",6569088
St. Lucia,LCA,"Population, total",178583
Latin America & Caribbean,LCN,"Population, total",645295804
Least developed countries: UN classification,LDC,"Population, total",1048193552
Low income,LIC,"Population, total",648755452
Liechtenstein,LIE,"Population, total",38482
Sri Lanka,LKA,"Population, total",21803000
Lower middle income,LMC,"Population, total",3075311775
Low & middle income,LMY,"Population, total",6476995208
Lesotho,LSO,"Population, total",2225702
Late-demographic dividend,LTE,"Population, total",2309491804
Lithuania,LTU,"Population, total",2794137
Luxembourg,LUX,"Population, total",620001
Latvia,LVA,"Population, total",1913822
"Macao SAR, China",MAC,"Population, total",663653
St. Martin (French part),MAF,"Population, total",33121
Morocco,MAR,"Population, total",36304408
Monaco,MCO,"Population, total",37034
Moldova,MDA,"Population, total",2664224
Madagascar,MDG,"Population, total",27533134
Maldives,MDV,"Population, total",504508
Middle East & North Africa,MEA,"Population, total",473201775
Mexico,MEX,"Population, total",125085311
Marshall Islands,MHL,"Population, total",44728
Middle income,MIC,"Population, total",5828239756
North Macedonia,MKD,"Population, total",2076694
Mali,MLI,"Population, total",20567424
Malta,MLT,"Population, total",504062
Myanmar,MMR,"Population, total",53040212
Middle East & North Africa (excluding high income),MNA,"Population, total",405259403
Montenegro,MNE,"Population, total",622028
Mongolia,MNG,"Population, total",3232430
Northern Mariana Islands,MNP,"Population, total",49858
Mozambique,MOZ,"Population, total",30285595
Mauritania,MRT,"Population, total",4383849
Mauritius,MUS,"Population, total",1265985
Malawi,MWI,"Population, total",18867337
Malaysia,MYS,"Population, total",32804020
North America,NAC,"Population, total",365995094
Namibia,NAM,"Population, total",2446644
New Caledonia,NCL,"Population, total",271240
Niger,NER,"Population, total",23443393
Nigeria,NGA,"Population, total",203304492
