,Location,Period,FactValueNumeric
1,Russian Federation,2019,1003695
2,China,2019,1013621
3,India,2019,1115687
4,India,2019,1146371
5,India,2019,1450806
6,China,2019,1659677
7,China,2019,1877096
8,Zimbabwe,2019,10035
9,Morocco,2019,10054
10,New Zealand,2019,10059
11,Argentina,2019,10066
12,Niger,2019,10130
13,Burundi,2019,10159
14,Cote d'Ivoire,2019,10172
15,Latvia,2019,10189
16,Canada,2019,10194
17,Colombia,2019,10221
18,Israel,2019,10227
19,Ecuador,2019,10231
20,Sudan,2019,10246
21,Tunisia,2019,10246
22,"Bolivia, Plurinational State of",2019,10259
23,Ukraine,2019,10291
24,Poland,2019,10327
25,Norway,2019,10327
26,Sri Lanka,2019,10341
27,Cote d'Ivoire,2019,10341
28,Mongolia,2019,10369
29,"Korea, Republic of",2019,10374
30,"Bolivia, Plurinational State of",2019,10386
31,Switzerland,2019,10388
32,Lebanon,2019,10392
33,Nigeria,2019,10403
34,Angola,2019,10449
35,Cameroon,2019,10460
36,"Moldova, Republic of",2019,10490
37,"Congo, The Democratic Republic of the",2019,10498
38,Italy,2019,10593
39,"Tanzania, United Republic of",2019,10608
40,Saudi Arabia,2019,10615
41,Sri Lanka,2019,10656
42,Bosnia and Herzegovina,2019,10665
43,Dominican Republic,2019,10715
44,Libya,2019,10717
45,Tajikistan,2019,10726
46,Niger,2019,10802
47,Belarus,2019,10820
48,Morocco,2019,10851
49,Zimbabwe,2019,10876
50,Cuba,2019,10926
51,Sweden,2019,10931
52,South Africa,2019,10966
53,Tonga,2019,10.94
54,Montenegro,2019,100
55,Bhutan,2019,100.2
56,Lesotho,2019,1003
57,Uruguay,2019,1004
58,Cyprus,2019,1005
59,Barbados,2019,1005
60,Malta,2019,1007
61,Bahamas,2019,101.9
62,Greece,2019,1010
63,United Arab Emirates,2019,1014
64,Eswatini,2019,1015
65,Gabon,2019,1017
66,Montenegro,2019,102.3
67,Estonia,2019,102.3
68,Equatorial Guinea,2019,102.4
69,Timor-Leste,2019,1020
70,Dominican Republic,2019,1026
71,Jordan,2019,1027
72,Rwanda,2019,1028
73,France,2019,103426
74,Vanuatu,2019,103.5
75,Kuwait,2019,103.5
76,Eritrea,2019,1032
77,Botswana,2019,1044
78,Benin,2019,1052
79,Cuba,2019,1052
80,Indonesia,2019,106193
81,Malta,2019,106.2
82,Brunei Darussalam,2019,106.8
83,Solomon Islands,2019,1060
84,Nicaragua,2019,1064
85,Burundi,2019,1067
86,Malawi,2019,1069
87,Tunisia,2019,1073
88,Gambia,2019,1075
89,Azerbaijan,2019,1078
90,Bosnia and Herzegovina,2019,1078
91,Indonesia,2019,108660
92,Antigua and Barbuda,2019,108.5
93,Sweden,2019,1080
94,Rwanda,2019,1082
95,United Arab Emirates,2019,1089
96,Cyprus,2019,1089
97,Bangladesh,2019,109439
98,Spain,2019,109727
99,Mauritania,2019,1090
100,Iraq,2019,1098
101,Eritrea,2019,1098
102,Serbia,2019,11139
103,Albania,2019,11195
104,Rwanda,2019,11202
105,Nepal,2019,11341
106,Ethiopia,2019,11391
107,Norway,2019,11424
108,Netherlands,2019,11539
109,Switzerland,2019,11583
110,Portugal,2019,11615
111,Austria,2019,11721
112,Somalia,2019,11759
113,"Congo, The Democratic Republic of the",2019,11854
114,Kazakhstan,2019,11946
115,Nigeria,2019,11987
116,Iceland,2019,11.22
117,Antigua and Barbuda,2019,11.29
118,Sao Tome and Principe,2019,11.84
119,Poland,2019,110704
120,Belize,2019,110.5
121,Grenada,2019,110.5
122,Bahrain,2019,110.6
123,Mongolia,2019,110.8
124,Gambia,2019,1108
125,Antigua and Barbuda,2019,111.7
126,Chad,2019,1110
127,Eswatini,2019,1111
128,Trinidad and Tobago,2019,1111
129,Yemen,2019,1114
130,Guinea-Bissau,2019,1116
131,Montenegro,2019,112.8
132,Kazakhstan,2019,1120
133,Eritrea,2019,1127
134,Mexico,2019,113477
135,Pakistan,2019,113481
136,Solomon Islands,2019,113.6
137,Brunei Darussalam,2019,113.6
138,Oman,2019,1131
139,Mali,2019,1138
140,Thailand,2019,114807
141,Bhutan,2019,114.1
142,Seychelles,2019,114.1
143,Oman,2019,1143
144,Burkina Faso,2019,1146
145,Central African Republic,2019,1147
146,Finland,2019,1147
147,China,2019,115005
148,Viet Nam,2019,115762
149,Grenada,2019,115.2
150,Albania,2019,1155
151,Burkina Faso,2019,1158
152,Brazil,2019,116309
153,Barbados,2019,116.2
154,Benin,2019,1161
155,New Zealand,2019,1162
156,Greece,2019,1168
157,Egypt,2019,117063
158,Indonesia,2019,117436
159,Philippines,2019,117754
160,Spain,2019,117937
161,Djibouti,2019,117.6
162,"Micronesia, Federated States of",2019,117.7
163,Thailand,2019,118147
164,China,2019,118427
165,Albania,2019,118.5
166,Brunei Darussalam,2019,118.5
167,Ukraine,2019,1183
168,Tunisia,2019,1186
169,Luxembourg,2019,1187
170,North Macedonia,2019,1188
171,North Macedonia,2019,1188
172,Myanmar,2019,119192
173,Maldives,2019,119.1
174,Equatorial Guinea,2019,1192
175,"Bolivia, Plurinational State of",2019,12042
176,Uganda,2019,12090
177,Myanmar,2019,12134
178,Greece,2019,12145
179,Israel,2019,12152
180,Sweden,2019,12153
181,Cambodia,2019,12160
182,Italy,2019,12226
183,Germany,2019,12258
184,Tajikistan,2019,12380
185,Dominican Republic,2019,12382
186,Croatia,2019,12416
187,Lao People's Democratic Republic,2019,12527
188,Peru,2019,12597
189,Australia,2019,12607
190,Uganda,2019,12638
191,Peru,2019,12656
192,"Venezuela, Bolivarian Republic of",2019,12676
193,Myanmar,2019,12676
194,Turkey,2019,12724
195,Egypt,2019,12753
196,Denmark,2019,12779
197,Madagascar,2019,12805
198,Czechia,2019,12808
199,Finland,2019,12824
200,"Moldova, Republic of",2019,12857
201,Egypt,2019,12863
202,Belgium,2019,12892
203,France,2019,12957
204,Grenada,2019,12.01
205,Seychelles,2019,12.25
206,Seychelles,2019,120.3
207,Senegal,2019,1201
208,Rwanda,2019,1201
209,Trinidad and Tobago,2019,1202
210,Israel,2019,1202
211,Kyrgyzstan,2019,1202
212,Namibia,2019,1206
213,Mauritius,2019,1208
214,Tonga,2019,121.1
215,Romania,2019,1210
216,Zambia,2019,1214
217,New Zealand,2019,1216
218,Paraguay,2019,1219
219,Turkey,2019,122270
220,Gabon,2019,1226
221,Jordan,2019,1227
222,Zambia,2019,1232
223,Libya,2019,1234
224,Burundi,2019,1239
225,Pakistan,2019,124328
226,Sweden,2019,1242
227,Congo,2019,1243
228,Benin,2019,1244
229,Lebanon,2019,1247
230,Barbados,2019,125.5
231,Morocco,2019,126562
232,Germany,2019,126683
233,Suriname,2019,126.5
234,Senegal,2019,1260
235,Bosnia and Herzegovina,2019,1262
236,United Arab Emirates,2019,1265
237,Montenegro,2019,1266
238,Senegal,2019,1267
239,Italy,2019,128553
240,Bhutan,2019,1284
241,Luxembourg,2019,1286
242,Bangladesh,2019,129099
243,United States,2019,129727
244,Brazil,2019,129735
245,Japan,2019,129928
246,Trinidad and Tobago,2019,129.4
247,Chad,2019,1291
248,Malawi,2019,1293
249,El Salvador,2019,1293
250,Guatemala,2019,1293
251,Guinea,2019,1294
252,Syrian Arab Republic,2019,1294
253,Guatemala,2019,1296
254,Haiti,2019,13019
255,Armenia,2019,13090
256,Cameroon,2019,13092
257,Malaysia,2019,13197
258,Chile,2019,13210
259,Nigeria,2019,13219
260,Uganda,2019,13272
261,"Korea, Democratic People's Republic of ",2019,13295
262,"Venezuela, Bolivarian Republic of",2019,13322
263,Angola,2019,13337
264,Cambodia,2019,13410
265,Malawi,2019,13442
266,Thailand,2019,13477
267,Cambodia,2019,13696
268,Syrian Arab Republic,2019,13742
269,Kenya,2019,13754
270,Algeria,2019,13774
271,Croatia,2019,13774
272,Nigeria,2019,13853
273,Benin,2019,13892
274,Malawi,2019,13967
275,Kyrgyzstan,2019,13974
276,Egypt,2019,13981
277,Indonesia,2019,130220
278,Lao People's Democratic Republic,2019,1300
279,El Salvador,2019,1300
280,Lesotho,2019,1306
281,Benin,2019,1308
282,Germany,2019,131080
283,Honduras,2019,1311
284,Israel,2019,1311
285,Mauritius,2019,1311
286,Croatia,2019,1311
287,United Arab Emirates,2019,1312
288,Mauritius,2019,1313
289,Chad,2019,1315
290,Philippines,2019,132245
291,Viet Nam,2019,132806
292,Samoa,2019,132.2
293,Rwanda,2019,1324
294,Ireland,2019,1328
295,Kiribati,2019,133.9
296,Azerbaijan,2019,1339
297,Antigua and Barbuda,2019,134.9
298,Hungary,2019,1341
299,Sierra Leone,2019,1344
300,El Salvador,2019,1348
301,Egypt,2019,135587
302,Kuwait,2019,135.8
303,Central African Republic,2019,1351
304,Lebanon,2019,1352
305,Malta,2019,1353
306,Syrian Arab Republic,2019,1355
307,United States,2019,136298
308,Mauritania,2019,1360
309,Austria,2019,1361
310,Azerbaijan,2019,1361
311,Tunisia,2019,1364
312,Paraguay,2019,1365
313,Slovakia,2019,1366
